infection probability,end infection probability,mean duration,st. deviation of ticks,mean removed,st. deviation of removed turtles
0.99,0.5,9.11340206185567,3.536953351313033,52.0,18.15994491192289
0.99,1.0,5.96,3.536953351313033,51.88,18.15994491192289
0.5,0.5,10.89,3.536953351313033,46.25,18.15994491192289
0.5,1.0,6.38,3.536953351313033,38.86,18.15994491192289
0.01,0.5,5.24,3.536953351313033,10.6,18.15994491192289
0.01,1.0,1.22,3.536953351313033,10.23,18.15994491192289
