infection probability,end infection probability,mean duration,st. deviation of ticks,mean removed,st. deviation of removed turtles
0.99,0.5,9.525773195876289,3.8924380743642035,51.95876288659794,18.244881276171167
0.99,1.0,6.0,3.8924380743642035,52.0,18.244881276171167
0.5,0.5,12.1,3.8924380743642035,45.48,18.244881276171167
0.5,1.0,6.89,3.8924380743642035,35.52,18.244881276171167
0.01,0.5,4.79,3.8924380743642035,10.44,18.244881276171167
0.01,1.0,1.15,3.8924380743642035,10.15,18.244881276171167
