infection probability,end infection probability,mean duration,st. deviation of ticks,mean removed,st. deviation of removed turtles
0.99,0.5,7.505154639175258,2.8040761935565164,35.96907216494845,10.903889913214847
0.99,1.0,3.15,2.8040761935565164,36.0,10.903889913214847
0.5,0.5,8.24,2.8040761935565164,29.53,10.903889913214847
0.5,1.0,3.7,2.8040761935565164,23.72,10.903889913214847
0.01,0.5,4.94,2.8040761935565164,10.39,10.903889913214847
0.01,1.0,1.23,2.8040761935565164,10.23,10.903889913214847
